UID          PID    PPID  C STIME TTY          TIME CMD
root         819       1  0 16:10 ?        00:00:00 /usr/libexec/switcheroo-control
root         821       1  0 16:10 ?        00:00:01 /lib/systemd/systemd-logind
root         822       1  0 16:10 ?        00:00:00 /usr/lib/udisks2/udisksd
root         823       1  0 16:10 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        827     799  0 16:10 ?        00:00:00 avahi-daemon: chroot helper
root         853       1  0 16:10 ?        00:00:00 /usr/sbin/ModemManager
root         858       1  0 16:10 ?        00:00:00 /usr/sbin/cups-browsed
root         860       1  0 16:10 ?        00:00:02 dockerd --group docker --exec-root=/run/snap.docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/run/snap.docker/docker.pid --config-file=/var/snap/docker/1124/config/daemon.json
root         863       1  0 16:10 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         955       1  0 16:10 ?        00:00:00 /usr/sbin/cron -f
whoopsie     958       1  0 16:10 ?        00:00:00 /usr/bin/whoopsie -f
daemon       959       1  0 16:10 ?        00:00:00 /usr/sbin/atd -f
kernoops     970       1  0 16:10 ?        00:00:00 /usr/sbin/kerneloops --test
root         977       1  0 16:10 ?        00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,38400,9600 ttyAMA0 vt220
kernoops     980       1  0 16:10 ?        00:00:00 /usr/sbin/kerneloops
root         990       1  0 16:10 ?        00:00:00 /usr/sbin/gdm3
rtkit       1035       1  0 16:10 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1194       1  0 16:10 ?        00:00:00 /usr/lib/upower/upowerd
root        1387     860  0 16:10 ?        00:00:06 containerd --config /run/snap.docker/containerd/containerd.toml --log-level error
colord      1580       1  0 16:10 ?        00:00:00 /usr/libexec/colord
root        1595       1  0 16:10 ?        00:00:00 /usr/sbin/spice-vdagentd
root        1606       2  0 16:10 ?        00:00:00 bpfilter_umh
root        1748     990  0 16:10 ?        00:00:00 gdm-session-worker [pam/gdm-password]
sassoul+    1755       1  0 16:10 ?        00:00:01 /lib/systemd/systemd --user
sassoul+    1756    1755  0 16:10 ?        00:00:00 (sd-pam)
sassoul+    1761    1755  0 16:10 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
sassoul+    1763    1755  0 16:10 ?        00:00:00 /usr/libexec/tracker-miner-fs
sassoul+    1765    1755  0 16:10 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
sassoul+    1771    1755  0 16:10 ?        00:00:00 /usr/libexec/gvfsd
sassoul+    1786    1755  0 16:10 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
sassoul+    1795       1  0 16:10 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
sassoul+    1798    1755  0 16:10 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
sassoul+    1805    1755  0 16:10 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
sassoul+    1811    1755  0 16:10 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
sassoul+    1815    1755  0 16:10 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
sassoul+    1821    1755  0 16:10 ?        00:00:00 /usr/libexec/goa-daemon
sassoul+    1829    1755  0 16:10 ?        00:00:00 /usr/libexec/goa-identity-service
sassoul+    1837    1755  0 16:10 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
sassoul+    1870    1748  0 16:10 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
sassoul+    1872    1870  0 16:10 tty2     00:00:26 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
sassoul+    1883    1870  0 16:10 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
sassoul+    1952    1883  0 16:10 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
sassoul+    1969    1755  0 16:10 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
sassoul+    1974    1969  0 16:10 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
sassoul+    1981    1755  0 16:10 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
sassoul+    1999    1755  0 16:10 ?        00:00:00 /usr/libexec/dconf-service
sassoul+    2003    1755  0 16:10 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
sassoul+    2017    1755  0 16:10 ?        00:00:32 /usr/bin/gnome-shell
sassoul+    2040    2017  0 16:10 ?        00:00:00 ibus-daemon --panel disable --xim
sassoul+    2046    2040  0 16:10 ?        00:00:00 /usr/libexec/ibus-memconf
sassoul+    2047    2040  0 16:10 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
sassoul+    2051    1755  0 16:10 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
sassoul+    2053    1755  0 16:10 ?        00:00:00 /usr/libexec/ibus-portal
sassoul+    2064    1755  0 16:10 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
sassoul+    2068    1755  0 16:10 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
sassoul+    2069    1755  0 16:10 ?        00:00:00 /usr/libexec/xdg-permission-store
sassoul+    2080    1755  0 16:10 ?        00:00:00 /usr/libexec/evolution-source-registry
sassoul+    2089    1755  0 16:10 ?        00:00:00 /usr/libexec/evolution-calendar-factory
sassoul+    2099    1755  0 16:10 ?        00:00:00 /usr/libexec/gvfsd-metadata
sassoul+    2105    1755  0 16:10 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
sassoul+    2110    1771  0 16:10 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
sassoul+    2118    1755  0 16:10 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
sassoul+    2144    1755  0 16:10 ?        00:00:00 /usr/libexec/gsd-a11y-settings
sassoul+    2145    1755  0 16:10 ?        00:00:00 /usr/libexec/gsd-color
sassoul+    2146    1755  0 16:10 ?        00:00:00 /usr/libexec/gsd-datetime
sassoul+    2147    1755  0 16:10 ?        00:00:00 /usr/libexec/gsd-housekeeping
sassoul+    2149    1755  0 16:10 ?        00:00:00 /usr/libexec/gsd-keyboard
sassoul+    2150    1755  0 16:10 ?        00:00:00 /usr/libexec/gsd-media-keys
